# this file has been autogenerated by calcPhotonSystConsts.cpp

photonCats=EBlowR9,EBhighR9,EElowR9,EEhighR9

# photonCat       mean_change    sigma_change    rate_change
diphotonCat=0
proc=ggh
EBhighR9smear       0.0003     0.0153     0.0357    
EElowR9scale        0.0001     0.0373     0.0165    
EElowR9smear        0.0001     0.0239     0.0000    
EEhighR9scale       0.0009     0.0450     0.0330    
EEhighR9smear       0.0003     0.0369     0.0330    

diphotonCat=6
proc=zh
EBlowR9scale        0.0011     0.1534     0.0000    
EBlowR9smear        0.0006     0.1594     0.0000    
EBhighR9scale       0.0019     0.0716     0.0000    
EBhighR9smear       0.0005     0.0252     0.0362    
EElowR9scale        0.0001     0.0000     0.0000    
EElowR9smear        0.0007     0.0285     0.0259    
EEhighR9scale       0.0003     0.0000     0.0000    
EEhighR9smear       0.0001     0.0000     0.0000    

diphotonCat=6
proc=tth
EBlowR9scale        0.0011     0.0069     0.0106    
EBlowR9smear        0.0001     0.0361     0.0082    
EBhighR9scale       0.0013     0.0202     0.0008    
EBhighR9smear       0.0004     0.0186     0.0200    
EElowR9scale        0.0000     0.0000     0.0000    
EElowR9smear        0.0000     0.0000     0.0000    
EEhighR9scale       0.0004     0.0167     0.0003    
EEhighR9smear       0.0004     0.0156     0.0111    

diphotonCat=7
proc=ggh
EBlowR9scale        0.0008     0.0188     0.0098    
EBlowR9smear        0.0002     0.0268     0.0154    
EBhighR9scale       0.0013     0.0660     0.0010    
EBhighR9smear       0.0001     0.0739     0.0197    
EElowR9scale        0.0001     0.0019     0.0027    
EElowR9smear        0.0001     0.0019     0.0027    
EEhighR9scale       0.0014     0.0028     0.0124    
EEhighR9smear       0.0002     0.0585     0.0064    

diphotonCat=7
proc=vbf
EBlowR9scale        0.0010     0.0133     0.0026    
EBlowR9smear        0.0001     0.0510     0.0028    
EBhighR9scale       0.0014     0.0295     0.0054    
EBhighR9smear       0.0000     0.0503     0.0044    
EElowR9scale        0.0002     0.0048     0.0006    
EElowR9smear        0.0000     0.0113     0.0004    
EEhighR9scale       0.0011     0.0162     0.0011    
EEhighR9smear       0.0000     0.0218     0.0044    

diphotonCat=7
proc=wh
EBlowR9scale        0.0013     0.0488     0.0094    
EBlowR9smear        0.0003     0.0737     0.0150    
EBhighR9scale       0.0014     0.0422     0.0057    
EBhighR9smear       0.0002     0.0765     0.0057    
EElowR9scale        0.0002     0.0046     0.0084    
EElowR9smear        0.0002     0.0000     0.0000    
EEhighR9scale       0.0007     0.0293     0.0011    
EEhighR9smear       0.0004     0.0266     0.0180    

diphotonCat=7
proc=zh
EBlowR9scale        0.0011     0.0347     0.0000    
EBlowR9smear        0.0000     0.0111     0.0000    
EBhighR9scale       0.0019     0.0398     0.0000    
EBhighR9smear       0.0007     0.0695     0.0193    
EElowR9scale        0.0000     0.0000     0.0000    
EElowR9smear        0.0005     0.0399     0.0174    
EEhighR9scale       0.0005     0.0510     0.0000    
EEhighR9smear       0.0002     0.0207     0.0000    

diphotonCat=7
proc=tth
EBlowR9scale        0.0006     0.0240     0.0089    
EBlowR9smear        0.0002     0.0838     0.0150    
EBhighR9scale       0.0014     0.0394     0.0182    
EBhighR9smear       0.0003     0.0619     0.0059    
EElowR9scale        0.0000     0.0000     0.0000    
EElowR9smear        0.0001     0.0000     0.0000    
EEhighR9scale       0.0006     0.0146     0.0001    
EEhighR9smear       0.0001     0.0384     0.0033    

diphotonCat=8
proc=ggh
EBlowR9scale        0.0000     0.0000     0.0000    
EBlowR9smear        0.0000     0.0000     0.0000    
EBhighR9scale       0.0000     0.0000     0.0000    
EBhighR9smear       0.0000     0.0000     0.0000    
EElowR9scale        0.0000     0.0000     0.0000    
EElowR9smear        0.0000     0.0000     0.0000    
EEhighR9scale       0.0000     0.0000     0.0000    
EEhighR9smear       0.0000     0.0000     0.0000    

diphotonCat=8
proc=vbf
EBlowR9scale        0.0000     0.0000     0.0000    
EBlowR9smear        0.0000     0.0000     0.0000    
EBhighR9scale       0.0040     0.0000     0.0000    
EBhighR9smear       0.0010     0.0000     0.0000    
EElowR9scale        0.0000     0.0000     0.0000    
EElowR9smear        0.0000     0.0000     0.0000    
EEhighR9scale       0.0000     0.0000     0.0000    
EEhighR9smear       0.0000     0.0000     0.0000    

diphotonCat=8
proc=wh
EBlowR9scale        0.0008     0.0031     0.0014    
EBlowR9smear        0.0000     0.0267     0.0006    
EBhighR9scale       0.0015     0.0084     0.0007    
EBhighR9smear       0.0001     0.0482     0.0005    
EElowR9scale        0.0003     0.0039     0.0005    
EElowR9smear        0.0001     0.0050     0.0003    
EEhighR9scale       0.0014     0.0092     0.0002    
EEhighR9smear       0.0001     0.0307     0.0002    

diphotonCat=8
proc=zh
EBlowR9scale        0.0009     0.0278     0.0000    
EBlowR9smear        0.0001     0.0254     0.0000    
EBhighR9scale       0.0014     0.0084     0.0000    
EBhighR9smear       0.0000     0.0275     0.0000    
EElowR9scale        0.0002     0.0086     0.0000    
EElowR9smear        0.0001     0.0027     0.0008    
EEhighR9scale       0.0013     0.0431     0.0023    
EEhighR9smear       0.0001     0.0312     0.0008    

diphotonCat=8
proc=tth
EBlowR9scale        0.0009     0.0039     0.0006    
EBlowR9smear        0.0001     0.0252     0.0005    
EBhighR9scale       0.0015     0.0242     0.0012    
EBhighR9smear       0.0001     0.0760     0.0012    
EElowR9scale        0.0001     0.0029     0.0006    
EElowR9smear        0.0000     0.0087     0.0006    
EEhighR9scale       0.0009     0.0114     0.0006    
EEhighR9smear       0.0000     0.0266     0.0006    

diphotonCat=9
proc=ggh
EBlowR9scale        0.0000     0.0000     0.0000    
EBlowR9smear        0.0000     0.0000     0.0000    
EBhighR9scale       0.0000     0.0000     0.0000    
EBhighR9smear       0.0000     0.0000     0.0000    
EElowR9scale        0.0000     0.0000     0.0000    
EElowR9smear        0.0000     0.0000     0.0000    
EEhighR9scale       0.0000     0.0000     0.0000    
EEhighR9smear       0.0000     0.0000     0.0000    

diphotonCat=9
proc=vbf
EBlowR9scale        0.0016     0.0145     0.0000    
EBlowR9smear        0.0006     0.0591     0.0001    
EBhighR9scale       0.0009     0.0718     0.0000    
EBhighR9smear       0.0001     0.0000     0.0000    
EElowR9scale        0.0001     0.0000     0.0000    
EElowR9smear        0.0000     0.0000     0.0000    
EEhighR9scale       0.0019     0.1555     0.0000    
EEhighR9smear       0.0008     0.1210     0.0000    

diphotonCat=9
proc=wh
EBlowR9scale        0.0010     0.0129     0.0012    
EBlowR9smear        0.0000     0.0318     0.0013    
EBhighR9scale       0.0014     0.0148     0.0013    
EBhighR9smear       0.0000     0.0448     0.0013    
EElowR9scale        0.0002     0.0052     0.0011    
EElowR9smear        0.0000     0.0066     0.0005    
EEhighR9scale       0.0015     0.0122     0.0018    
EEhighR9smear       0.0000     0.0326     0.0007    

diphotonCat=9
proc=zh
EBlowR9scale        0.0008     0.0105     0.0020    
EBlowR9smear        0.0000     0.0269     0.0000    
EBhighR9scale       0.0014     0.0071     0.0023    
EBhighR9smear       0.0002     0.0329     0.0019    
EElowR9scale        0.0003     0.0005     0.0000    
